3.17.2-PTU 8121594,Outpost Index,Time Index,Waypoint Name,,Cartesian Coordinate (x y z) in km,,,"Rotation Quaternion (w,x,y,z)",,,,QTMarker,OM Radius,Body Radius,Arrival Radius,Time Lines,Rotation Speed,Rotation Adjust,Orbital Radius,Orbital Speed,Orbital Angle,Grid Radius,Adjustment Date,,,Body Selection
Stanton R00,,,Stanton,Stanton,136049.870,1294427.400,2923345.368,1.00000000,0.00000000,0.00000001,0.00000002,TRUE,,696000.000,,,,,,,,,,,,Yela
Wala R00,,,Wala,Wala,18379649.310,-22000466.768,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,413.056,283.000,447.308,20,6.3200002,135.45425,257308.320,0.000,143.943,566.300,44511.58959,,,HUR-L1
Yela R00,,,Yela,Yela,-19022916.799,-2613996.152,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,455.483,313.000,478.650,29,1.8200001,217.58054,79286.880,0.000,140.000,1016.600,44514.6029,,,HUR-L2
ARC-L1 R00,,,ARC-L1,ARC-L1,16729134.637,-19937006.925,8.077,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,HUR-L3
ARC-L2 R00,,,ARC-L2,ARC-L2,20446718.503,-24367450.991,8.077,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,HUR-L4
ARC-L3 R00,,,ARC-L3,ARC-L3,-25043446.884,14458841.788,8.077,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,HUR-L5
ARC-L4 R00,,,ARC-L4,ARC-L4,28478354.916,5021502.483,8.077,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,CRU-L1
ARC-L5 R00,,,ARC-L5,ARC-L5,-9890422.516,-27173732.225,8.077,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,CRU-L2
CRU-L1 R00,,,CRU-L1,CRU-L1,-17065957.376,-2398464.000,0.000,0.96363044,0.00000000,0.00000000,-0.26723838,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,CRU-L3
CRU-L2 R00,,,CRU-L2,CRU-L2,-20858376.485,-2931474.402,0.000,,,,,,,,,,,0.00000,,,,,,,,CRU-L4
CRU-L3 R00,,,CRU-L3,CRU-L3,18962164.826,2664965.041,0.000,0.96363044,0.00000000,0.00000000,-0.26723838,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,CRU-L5
CRU-L4 R00,,,CRU-L4,CRU-L4,-7173168.640,-17754204.160,0.000,0.96363044,0.00000000,0.00000000,-0.26723838,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,ARC-L1
CRU-L5 R00,,,CRU-L5,CRU-L5,-11789008.988,15089246.107,0.000,0.96363044,0.00000000,0.00000000,-0.26723838,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,ARC-L2
HUR-L1 R00,,,HUR-L1,HUR-L1,11565411.328,0.000,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,ARC-L3
HUR-L2 R00,,,HUR-L2,HUR-L2,14135502.848,0.000,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,ARC-L4
HUR-L3 R00,,,HUR-L3,HUR-L3,-12850457.600,-1.123,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,ARC-L5
HUR-L4 R00,,,HUR-L4,HUR-L4,6425228.288,11128823.808,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,MIC-L1
HUR-L5 R00,,,HUR-L5,HUR-L5,6425227.776,-11128823.808,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,0.00000,,,,,,,,MIC-L2
MIC-L1 R00,,,MIC-L1,MIC-L1,20215824.238,33467065.008,0.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,70.000,,0.0000000,,,,,,,,,MIC-L3
MIC-L2 R00,,,MIC-L2,MIC-L2,24708827.153,40905202.459,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,MIC-L4
MIC-L3 R00,,,MIC-L3,MIC-L3,-22457170.266,-37187612.396,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,MIC-L5
MIC-L4 R00,,,MIC-L4,MIC-L4,-20971933.230,38045504.032,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
MIC-L5 R00,,,MIC-L5,MIC-L5,43435204.288,-851406.956,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
,,,,,,,,,,,,,Rise Corr,Set Corr,,,,,,,,,,,,
Aberdeen R01,,,OM-1,OM1,0.000,0.000,402.708,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen R02,,,OM-2,OM2,0.000,0.000,-402.708,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen R03,,Aberdeen 09,OM-3,OM3,0.000,402.708,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen R04,,Aberdeen 23,OM-4,OM4,0.000,-402.708,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen R05,,Aberdeen 19,OM-5,OM5,402.708,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen R06,,Aberdeen 02,OM-6,OM6,-402.708,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen 06,Aberdeen 30,Aberdeen 01,Comm Array ST1-92,ST1-92,-435.359,-45.214,24.000,1.00000000,0.00000002,0.00000001,-0.00000002,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen 01,Aberdeen 01,Aberdeen 08,HDMS Anderson,Anderson,-26.950,180.221,206.879,0.86271751,-0.30198452,-0.18331000,-0.36183044,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen 02,Aberdeen 02,Aberdeen 06,HDMS Norgaard,Norgaard,-141.572,195.318,132.098,0.79163843,-0.49691567,-0.11368231,0.33683783,TRUE,4.000,0.000,,,,,,,,,,,,
Aberdeen 03,Aberdeen 11,Aberdeen 15,HDES Dobbs (NA) [F],Dobbs,270.579,47.399,-11.404,0.69228697,-0.12441327,0.71081650,0.00009965,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen 05,Aberdeen 08,Aberdeen 11,Barton Flats Aid Shelter,Barton,54.341,217.120,-159.881,0.09910470,0.02393440,0.88885331,0.44670483,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen 04,Aberdeen 05,Aberdeen 10,Klescher Rehabilitation Facility,Klescher,44.975,221.563,-156.583,-0.25905728,0.63812226,0.62076658,0.37461737,TRUE,0.000,0.000,,,,,,,,,,,,
Aberdeen 07,Aberdeen 12,Aberdeen 19,Aberdeen Cave N60 [F] AND-352/317,Cave N60,56.811,-124.615,238.532,0.96623582,0.23446289,0.10684342,0.00015997,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 08,Aberdeen 13,Aberdeen 14,Aberdeen Cave N73 [F] AND-335/199,Cave N73,77.253,19.426,263.113,0.98921633,-0.03568078,0.14204884,0.00025720,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 11,Aberdeen 16,Aberdeen 18,Aberdeen Cave S32 [S] DOB-232/258,Cave S32,175.926,-151.288,-146.452,0.40795648,0.12729627,0.86641282,-0.25825569,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 09,Aberdeen 14,Aberdeen 04,Aberdeen Cave S11 [F] NOR-172/189,Cave S11,-177.482,203.524,-53.401,0.62939340,-0.51106435,-0.57949132,-0.08286697,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 10,Aberdeen 15,Aberdeen 17,Aberdeen Cave S22 [FVS] DOB-237/186,Cave S22,230.506,-109.038,-103.946,0.08126361,0.79389256,-0.24181566,0.55195653,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 12,Aberdeen 19,Aberdeen 07,Caterpillar E Wreck AND-028/103,Caterpillar,-61.992,94.045,251.031,0.97630709,-0.16803873,-0.12482516,-0.05482848,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 13,Aberdeen 20,Aberdeen 03,Constellation D Wreck NOR-128/92,Constellation,-207.122,163.655,75.824,0.79877329,-0.37299070,-0.47205848,-0.00000023,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 14,Aberdeen 21,Aberdeen 12,Freelancer D Wreck DOB-043/110,Freelancer,239.132,116.815,68.701,0.76706588,-0.39393514,0.46887964,-0.19125089,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 15,Aberdeen 22,Aberdeen 13,Starfarer C Wreck AND-309/224,Starfarer,153.456,48.444,223.125,-0.17266577,0.30502039,0.03780794,0.93579894,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 16,Aberdeen 23,Aberdeen 05,Derelict Caterpillar Wreck NOR-118/22,Derelict 1B,-160.520,187.065,122.157,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen,,,Norgaard Platinum Bay Ground Spawn,PBNor,-141.564,195.379,132.013,-0.34634051,-0.10761578,0.49841842,0.78743011,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen,,,Anderson Platinum Bay Ground Spawn,PBand,-26.773,180.120,207.001,-0.45754415,0.12546705,0.32991812,0.81612831,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen,Aberdeen,Aberdeen,Kleschler Main Prison Building,Main Prison,45.451,221.637,-156.357,-0.45975843,0.88393074,0.00734648,0.08505688,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen,Aberdeen,Aberdeen,North Borehole,N Bore,44.954,221.791,-156.272,0.38017172,-0.61848211,0.63482893,0.26446468,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen,Aberdeen,Aberdeen,South Borehole,S Bore,44.975,221.563,-156.583,-0.25905728,0.63812226,0.62076658,0.37461737,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 17,Aberdeen 26,,Norgaard Racetrack NOR-331/52,NOR Race,-106.085,188.879,169.721,0.89908874,-0.38168371,-0.21437578,0.00000002,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 18,Aberdeen 27,,Anderson Racetrack AND-081/40,AND Race,-65.273,167.277,208.060,0.93729728,-0.32468739,-0.12669590,0.00000001,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 19,,,Orbital ShipGraveyard 1-1,OGY1-1,398.700,165.147,143.309,0.64206511,0.13210340,0.74845362,-0.10058965,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 20,,,Orbital ShipGraveyard 1-2,OGY1-2,305.152,305.152,44.783,-0.29759589,-0.11118534,0.90262938,-0.29040441,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 21,,,Orbital ShipGraveyard 1-3,OGY1-3,165.147,398.700,-32.601,0.28921565,0.40116110,-0.30364579,0.81438524,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 22,,,Orbital ShipGraveyard 1-4,OGY1-4,0.000,431.550,0.000,0.77232683,0.19997215,-0.06509868,-0.59940350,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 23,,,Orbital ShipGraveyard 2-1,OGY2-1,-165.147,398.700,30.149,-0.31742325,-0.10398921,-0.38364908,0.86095417,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 24,,,Orbital ShipGraveyard 2-2,OGY2-2,-305.152,305.152,-165.676,0.20487528,0.78956014,0.24708828,-0.52303755,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 25,,,Orbital ShipGraveyard 2-3,OGY2-3,-398.700,165.147,-41.227,0.51315165,-0.05030261,-0.85596377,0.03835458,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 26,,,Orbital ShipGraveyard 2-4,OGY2-4,-431.550,0.000,0.000,0.54820853,0.55155218,-0.17395444,0.60415018,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 27,,,Orbital ShipGraveyard 3-1,OGY3-1,-398.700,-165.147,0.000,0.18441361,-0.61672425,-0.10029086,0.75867289,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 28,,,Orbital ShipGraveyard 3-2,OGY3-2,-305.152,-305.152,43.201,0.01578811,0.76136249,-0.05794444,0.64553881,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 29,,,Orbital ShipGraveyard 3-3,OGY3-3,-165.147,-398.700,0.000,-0.25546107,-0.04105654,0.96232426,0.08358252,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 30,,,Orbital ShipGraveyard 3-4,OGY3-4,0.000,-431.550,0.000,-0.42480338,0.71701819,-0.39316061,-0.38839635,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 31,,,Orbital ShipGraveyard 4-1,OGY4-1,165.147,-398.700,-46.427,0.10536486,0.97047555,0.16368897,0.14241266,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 32,,,Orbital ShipGraveyard 4-2,OGY4-2,305.152,-305.152,40.687,0.75950456,0.21486554,-0.30685976,0.53181082,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 33,,,Orbital ShipGraveyard 4-3,OGY4-3,431.550,0.000,-64.975,0.19293855,-0.40911022,0.03632604,0.89111388,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen 34,,,Orbital ShipGraveyard 4-4,OGY4-4,416.845,-111.693,10.625,0.66122520,0.19524002,0.70396811,-0.17056236,FALSE,0.000,0.000,,,,,,,,,,,,
Aberdeen,Aberdeen 00,,Trading Terminals,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen 10,,Caves,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen 18,,Wrecks,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen,,Orbital Graveyards,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen 25,,Scramble Racetracks,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen 07,,Emergency Shelters,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen 29,,Comm Array,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Aberdeen 04,,Correctional Facility,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp R01,,,OM-1,OM1,0.000,0.000,1151.453,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp R02,,,OM-2,OM2,0.000,0.000,-1151.453,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp R03,,ArcCorp 11,OM-3,OM3,0.000,1151.453,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp R04,,ArcCorp 16,OM-4,OM4,0.000,-1151.453,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp R05,,ArcCorp 14,OM-5,OM5,1151.453,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp R06,,ArcCorp 10,OM-6,OM6,-1151.453,0.000,0.000,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 08,ArcCorp 06,ArcCorp 15,Comm Array ST3-90,ST3-90,758.384,-636.360,24.000,1.00000000,0.00000000,0.00000000,0.00000000,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 04,ArcCorp 17,ArcCorp 02,Area 04,Area 04,-314.306,-601.435,423.659,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 05,ArcCorp 18,ArcCorp 07,Area 06,Area 06,-745.806,-111.306,267.380,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 06,ArcCorp 19,ArcCorp 13,Area 11,Area 11,508.204,397.589,472.922,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 07,ArcCorp 20,ArcCorp 01,Area 17,Area 17,-310.290,-601.811,-425.980,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 01,ArcCorp 01,ArcCorp 06,Area 18,Area 18,-747.409,-116.734,-262.094,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 09,ArcCorp 21,ArcCorp 12,Area 20,Area 20,506.937,401.104,-471.308,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 02,ArcCorp 03,ArcCorp 03,Baijini Point,Baijini,-771.961,-321.347,-359.509,,,,,TRUE,0.000,0.000,,,,,,,,,,,,
ArcCorp 13,ArcCorp 12,ArcCorp 09,Pecheco Rooftop Landing Pad 4,Pad 4,-745.947,-95.668,-275.190,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp 12,ArcCorp 11,ArcCorp 08,Pecheco Rooftop Landing Pad 3,Pad 3,-751.415,-97.217,-259.020,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp 11,ArcCorp 10,ArcCorp 05,Pecheco Rooftop Landing Pad 2,Pad 2,-750.330,-123.446,-250.326,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp 10,ArcCorp 09,ArcCorp 04,Pecheco Rooftop Landing Pad 1,Pad 1,-748.099,-155.028,-239.836,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp 03,ArcCorp 02,,Riker Memorial Spaceport,Riker,-748.361,-103.663,-263.811,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,ArcCorp 16,,Other Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,,,Landing Pads,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,,,Area 04 Major City Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,,,Area 06 Major City Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,,,Area 11 Major City Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,,,Area 17 Major City Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,ArcCorp 08,,Area 18 City Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,,,Area 20 Major City Areas,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,ArcCorp 05,,Comm Array,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp,ArcCorp 00,,Landing Zone,,,,,,,,,,,,,,,,,,,,,,,
ArcCorp 14,ArcCorp 13,,Area 18 Ring Building 1,Ring 1,-746.977,-151.570,-243.007,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp 15,ArcCorp 14,,Area 18 Ring Building 2,Ring 2,-752.158,-112.024,-248.420,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 3x3a OC-006,,-314.306,-601.435,423.659,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 2x2a OC-008,,-309.708,-602.307,425.802,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 2x2a OC-012,,-314.988,-604.453,418.950,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 2x2a OC-019,,-318.677,-601.194,420.789,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 2x2a OC-020,,-313.164,-598.668,428.409,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1a OC-006,,-307.608,-608.816,417.995,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1a OC-009,,-316.684,-597.158,427.922,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1b OC-009,,-312.072,-604.498,421.044,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1b OC-017,,-318.740,-597.690,425.655,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1b OC-027,,-306.382,-604.156,425.734,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1b OC-029,,-320.589,-598.551,423.080,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1b OC-031,,-318.156,-603.328,418.183,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 04 1x1b OC-034,,-321.817,-600.555,419.362,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 3x3a OC-002,,-745.806,-111.306,267.380,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 2x2a OC-001,,-746.395,-106.006,267.690,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 2x2a OC-005,,-746.273,-116.287,263.734,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 2x2a OC-018,,-743.755,-113.215,272.264,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 2x2a OC-022,,-743.869,-109.244,273.714,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1a OC-008,,-745.313,-115.497,266.776,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1b OC-011,,-743.989,-118.923,268.987,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1b OC-012,,-747.734,-104.338,264.595,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1b OC-021,,-747.686,-114.520,260.576,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1b OC-022,,-742.480,-112.662,276.067,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1b OC-036,,-744.934,-106.185,271.726,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 06 1x1b OC-037,,-747.753,-110.151,262.280,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 3x3a OC-005,,508.204,397.589,472.922,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 2x2a OC-007,,501.670,411.474,467.992,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 2x2a OC-009,,520.700,386.505,468.493,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 2x2a OC-015,,511.767,397.923,468.777,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1a OC-004,,503.921,411.024,465.974,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1a OC-005,,496.148,405.544,478.928,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1a OC-011,,521.354,389.386,465.432,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-002,,508.552,394.001,475.588,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-007,,504.172,401.447,474.084,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-014,,504.198,393.224,480.790,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-016,,523.075,382.908,468.804,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
ArcCorp,,,Area 11 1x1b OC-020,,501.971,408.825,469.999,,,,,FALSE,0.000,0.000,,,,,,,,,,,,
